1,1001,เขตพระนคร,2,1
2,1002,เขตดุสิต,2,1
3,1003,เขตหนองจอก,2,1
4,1004,เขตบางรัก,2,1
5,1005,เขตบางเขน,2,1
6,1006,เขตบางกะปิ,2,1
7,1007,เขตปทุมวัน,2,1
8,1008,เขตป้อมปราบศัตรูพ่าย,2,1
9,1009,เขตพระโขนง,2,1
10,1010,เขตมีนบุรี,2,1
11,1011,เขตลาดกระบัง,2,1
12,1012,เขตยานนาวา,2,1
13,1013,เขตสัมพันธวงศ์,2,1
14,1014,เขตพญาไท,2,1
15,1015,เขตธนบุรี,2,1
16,1016,เขตบางกอกใหญ่,2,1
17,1017,เขตห้วยขวาง,2,1
18,1018,เขตคลองสาน,2,1
19,1019,เขตตลิ่งชัน,2,1
20,1020,เขตบางกอกน้อย,2,1
21,1021,เขตบางขุนเทียน,2,1
22,1022,เขตภาษีเจริญ,2,1
23,1023,เขตหนองแขม,2,1
24,1024,เขตราษฎร์บูรณะ,2,1
25,1025,เขตบางพลัด,2,1
26,1026,เขตดินแดง,2,1
27,1027,เขตบึงกุ่ม,2,1
28,1028,เขตสาทร,2,1
29,1029,เขตบางซื่อ,2,1
30,1030,เขตจตุจักร,2,1
31,1031,เขตบางคอแหลม,2,1
32,1032,เขตประเวศ,2,1
33,1033,เขตคลองเตย,2,1
34,1034,เขตสวนหลวง,2,1
35,1035,เขตจอมทอง,2,1
36,1036,เขตดอนเมือง,2,1
37,1037,เขตราชเทวี,2,1
38,1038,เขตลาดพร้าว,2,1
39,1039,เขตวัฒนา,2,1
40,1040,เขตบางแค,2,1
41,1041,เขตหลักสี่,2,1
42,1042,เขตสายไหม,2,1
43,1043,เขตคันนายาว,2,1
44,1044,เขตสะพานสูง,2,1
45,1045,เขตวังทองหลาง,2,1
46,1046,เขตคลองสามวา,2,1
47,1047,เขตบางนา,2,1
48,1048,เขตทวีวัฒนา,2,1
49,1049,เขตทุ่งครุ,2,1
50,1050,เขตบางบอน,2,1
51,1081,*บ้านทะวาย,2,1
52,1101,เมืองสมุทรปราการ,2,2
53,1102,บางบ่อ,2,2
54,1103,บางพลี,2,2
55,1104,พระประแดง,2,2
56,1105,พระสมุทรเจดีย์,2,2
57,1106,บางเสาธง,2,2
58,1201,เมืองนนทบุรี,2,3
59,1202,บางกรวย,2,3
60,1203,บางใหญ่,2,3
61,1204,บางบัวทอง,2,3
62,1205,ไทรน้อย,2,3
63,1206,ปากเกร็ด,2,3
64,1251,เทศบาลนครนนทบุรี (สาขาแขวงท่าทราย)*,2,3
65,1297,เทศบาลเมืองปากเกร็ด*,2,3
66,1301,เมืองปทุมธานี,2,4
67,1302,คลองหลวง,2,4
68,1303,ธัญบุรี,2,4
69,1304,หนองเสือ,2,4
70,1305,ลาดหลุมแก้ว,2,4
71,1306,ลำลูกกา,2,4
72,1307,สามโคก,2,4
73,1351,ลำลูกกา (สาขาตำบลคูคต)*,2,4
74,1401,พระนครศรีอยุธยา,2,5
75,1402,ท่าเรือ,2,5
